1457	0	2445
48	1	2446
2408	2	2447
1679	1	2448
2150	1	2449
2450	0	2451
521	1	2452
2453	1	2454
1010	2	2455
1099	1	1664
2067	1	1913
1613	3	2456
1601	1	2457
303	2	2458
2151	2	1700
2459	1	2460
582	1	2446
1347	2	2461
2462	4	2282
60	1	544
662	2	2463
2294	1	1489
827	1	2464
1629	1	2465
2466	1	2465
401	2	2467
2468	1	544
1714	1	1489
1654	2	2469
1537	5	2470
1053	1	2471
1013	1	2472
1016	2	666
1193	1	2473
2474	1	815
281	2	2475
234	2	2476
2440	1	738
2420	2	2477
709	1	2460
2478	1	2479
2394	1	544
2480	2	2481
2482	2	2483
1583	1	2484
418	1	738
23	1	2485
597	2	2085
186	1	2452
1885	1	2464
33	6	1277
1770	7	2146
2486	1	1489
2206	0	2487
1521	1	2488
2489	1	2473
2490	1	1161
1800	1	2449
899	1	2491
1301	1	2449
207	3	2492
2327	1	2493
1748	2	2467
864	1	738
643	1	2473
2494	1	2452
1463	3	2495
2496	2	2497
2498	2	2499
1917	1	2485
1769	2	2500
119	1	2501
1468	2	1726
287	1	2502
2005	1	2503
1756	1	2491
1981	1	2473
2504	1	1161
2407	1	2505
349	2	2506
20	4	2507
1455	1	738
599	1	2472
1958	1	2471
276	1	2473
2508	2	1304
2509	1	2491
2510	1	1357
1170	3	2511
1399	1	2449
2021	1	2449
2274	2	942
2512	2	2513
2514	1	2472
53	2	2515
2027	1	2465
710	1	2516
1210	1	2472
225	1	1946
1756	1	1913
2365	1	2517
2518	0	984
1722	2	2519
1090	1	2520
381	1	2473
2521	1	2522
195	1	2454
1981	1	2465
2444	1	2523
1869	3	2524
548	0	2525
1099	2	2526
1073	1	2465
1874	1	544
820	1	2527
196	1	31
2528	1	2472
2153	3	2529
2267	1	2464
598	0	1117
2530	3	2531
776	2	2532
937	1	815
1424	2	2533
632	2	2534
2535	1	2446
2536	2	2537
869	1	544
152	1	2538
1083	3	2492
2400	2	2539
1188	2	2540
1153	1	2541
2542	1	2520
1098	1	2473
229	8	2543
2544	0	2545
1270	1	2449
1526	1	2206
191	1	2523
2546	1	2547
175	2	2548
511	7	2549
2550	2	2551
679	1	2485
1663	1	2552
620	1	1177
1100	3	2553
988	1	2454
1770	1	2473
868	2	2534
2554	1	2555
2156	1	2485
1887	1	2556
1738	2	2557
229	1	1489
2186	1	2558
2237	2	2559
1324	1	2560
1342	1	2449
2055	1	2561
710	1	1177
2408	1	2562
89	2	2563
1275	1	2564
1326	2	2565
2566	6	2567
71	1	2465
1217	2	2568
2044	1	2569
1134	1	2570
416	2	2571
947	1	2454
277	3	2572
1820	1	2454
1502	2	2467
1982	2	801
1939	1	2573
2430	1	823
1595	1	2574
2127	3	2575
182	1	1913
383	1	1489
716	3	2576
2577	1	738
2578	1	2464
2075	1	2523
2579	1	2523
115	2	2580
517	1	2452
444	1	2464
2355	1	2503
2581	1	2472
1848	1	2473
2582	1	937
135	2	1963
2238	2	2583
2160	5	2584
725	8	537
1980	1	2454
977	1	2465
2585	1	2586
186	3	2587
166	9	2588
540	1	2473
2398	1	2589
2343	2	666
1109	1	2502
2123	1	1177
1357	2	2590
357	1	2485
2591	0	2592
615	2	2500
1524	1	738
2593	1	544
2594	3	2595
1363	3	2596
159	1	1489
985	3	290
9	3	998
785	1	2488
1980	0	2597
1778	1	2523
1903	1	2464
344	1	1489
1897	1	2573
2208	1	1161
1922	2	2598
489	1	1161
1663	1	2485
632	2	2599
1220	1	2485
1991	1	2600
2601	5	2602
976	9	2603
1240	1	2604
2046	1	2605
534	2	2467
437	1	2488
493	7	2606
399	1	2523
282	2	2607
55	2	2608
1294	1	1177
2609	2	2610
1010	1	2472
816	2	2611
439	2	2612
2424	1	2523
530	1	2465
2613	2	2467
688	7	2614
1803	1	269
871	2	2615
760	1	2616
1199	1	1334
2230	0	2617
1690	1	2618
2019	1	738
2619	3	998
329	1	2454
1651	2	2620
828	1	1913
977	1	544
1695	1	2452
2621	2	2458
980	1	2473
49	1	2446
2312	1	1489
1791	2	270
2622	2	2623
2624	0	2625
1696	1	544
2626	1	2472
2627	2	2628
1741	1	815
1171	2	2629
2079	2	2630
1863	1	2464
2631	1	2502
1745	1	2523
2632	1	2523
595	1	2473
815	1	1357
2265	1	2449
2010	0	2633
2032	1	2634
225	1	2635
2178	1	1334
32	2	2636
2073	0	2637
2638	1	2639
2004	1	2454
2640	1	2454
379	2	2568
2257	1	2446
1231	2	1840
1436	2	2641
2021	1	2464
2307	1	815
1797	1	2465
385	1	544
1742	1	2642
2122	8	2384
850	1	738
2631	0	1088
1124	1	2473
2167	1	738
1286	5	2643
1121	2	2644
335	2	2645
849	9	2646
698	2	2500
850	1	2473
2294	1	2452
1521	1	2647
2648	1	2505
1518	2	2649
2650	1	2449
1770	1	2164
796	1	2488
2196	2	50
2651	2	2652
989	1	1161
2354	3	2653
1427	1	2654
2063	3	2655
1600	5	2656
2657	6	2658
1391	1	815
544	1	2452
2609	1	2473
1543	2	2659
1740	1	2660
2265	1	544
