1457	1	2463
48	5	7210
2408	3	12863
1679	5	9959
2150	5	9368
2934	1	7859
521	5	11299
3071	5	13329
1010	3	13457
1099	5	1664
2067	5	1913
1613	6	7767
1601	5	12297
303	3	2581
2151	3	1700
3018	5	14634
582	5	7210
1347	3	13089
2689	9	2282
60	5	544
662	3	7186
2294	5	1489
827	5	5201
1629	5	5751
2686	5	5751
401	3	8389
2483	5	544
1714	5	1489
1654	3	14221
1537	2	12402
1053	5	12306
1013	5	9587
1016	3	666
1193	5	9343
3081	5	815
281	3	6448
234	3	11903
2440	5	738
2420	3	13224
709	5	14634
2835	5	11163
2394	5	544
2730	3	12576
2690	3	8376
1583	5	14475
418	5	738
23	5	13885
597	3	2085
186	5	11299
1885	5	5201
33	10	1277
1770	0	2146
2796	5	1489
2206	1	11313
1521	5	10678
3061	5	9343
2685	5	1161
1800	5	9368
899	5	7043
1301	5	9368
207	6	8024
2327	5	9519
1748	3	8389
864	5	738
643	5	9343
2729	5	11299
1463	6	14214
3034	3	11215
2924	3	9496
1917	5	13885
1769	3	8820
119	5	10711
1468	3	1726
287	5	14087
2005	5	13972
1756	5	7043
1981	5	9343
2864	5	1161
2407	5	6873
349	3	7503
20	9	9440
1455	5	738
599	5	9587
1958	5	12306
276	5	9343
2831	3	1304
2768	5	7043
2885	5	1357
1170	6	9416
1399	5	9368
2021	5	9368
2274	3	942
2674	3	13775
2636	5	9587
53	3	9284
2027	5	5751
710	5	8647
1210	5	9587
225	5	1946
1756	5	1913
2365	5	7862
2584	1	984
1722	3	13679
1090	5	11500
381	5	9343
3036	5	9551
195	5	13329
1981	5	5751
2444	5	7002
1869	6	5734
548	1	10298
1099	3	11185
1073	5	5751
1874	5	544
820	5	11239
196	5	31
3045	5	9587
2153	6	13772
2267	5	5201
598	1	1117
2830	6	12520
776	3	13545
937	5	815
1424	3	7339
632	3	12764
2485	5	7210
2459	3	8458
869	5	544
152	5	13865
1083	6	8024
2400	3	5841
1188	3	3714
1153	5	9948
2517	5	11500
1098	5	9343
229	8	4543
3041	1	14704
1270	5	9368
1526	5	2206
191	5	7002
2734	5	13667
175	3	2928
511	0	10688
2961	3	12407
679	5	13885
1663	5	8322
620	5	1177
1100	6	13247
988	5	13329
1770	5	9343
868	3	12764
2671	5	10356
2156	5	13885
1887	5	10689
1738	3	10420
229	5	1489
2186	5	12091
2237	3	7995
1324	5	13163
1342	5	9368
2055	5	4497
710	5	1177
2408	5	9308
89	3	11667
1275	5	10106
1326	3	9555
2883	10	3890
71	5	5751
1217	3	13175
2044	5	8950
1134	5	13026
416	3	9704
947	5	13329
