2758	0	10303
6911	1	10304
1327	2	10305
3114	2	10306
7896	0	10303
5154	0	10303
179	1	10307
2803	3	10308
4955	4	10309
8114	3	10310
2080	2	10311
1715	3	10312
415	0	10303
7618	2	10313
7197	2	10314
300	3	10315
8787	2	10316
2743	2	10317
6565	2	10318
8821	2	10319
1164	2	10320
8467	3	10321
4692	2	10322
7286	3	10323
8621	0	10303
7669	2	10324
6062	2	10325
4336	0	10303
6997	2	10326
3526	2	10327
6403	2	10328
7431	2	10329
5194	2	10330
8743	0	10303
3246	3	10331
944	1	10332
9215	0	10303
9088	2	10333
1888	3	10334
4052	3	10335
1290	2	10336
4755	2	10337
2023	2	10338
27	2	10339
9941	2	10340
4135	0	10303
703	2	10341
1560	0	10303
4107	2	10342
4770	2	10343
558	2	10344
4858	2	10345
110	2	10346
6133	2	10347
5549	2	10348
6264	2	10349
5479	2	10350
2475	3	10351
5967	2	10352
8359	1	10353
8114	2	10354
33	2	10355
3155	2	10356
2062	2	10357
212	1	10358
1632	2	10359
8310	2	10360
4561	2	10361
7739	2	10362
8349	2	10363
107	3	10364
5393	2	10365
456	2	10366
5041	0	10303
2013	2	10367
8603	3	10368
1746	2	10369
2540	3	10370
8122	4	10371
6186	2	10372
1011	2	10373
6653	3	10374
1077	0	10303
2484	3	10375
778	2	10376
1022	2	10377
4538	4	10378
4277	2	10379
9276	0	10380
9602	2	10381
1282	0	10303
460	2	10382
8402	2	10383
2719	3	10384
6332	0	10303
4302	2	10385
1549	4	10386
8942	2	10387
550	2	10388
3492	2	10389
7097	0	10303
6522	2	10390
3043	2	10391
8183	2	10392
7284	2	10393
1069	1	10394
5148	3	10395
4983	2	10396
7785	0	10303
244	2	10397
795	2	10398
5831	4	10399
9269	3	10400
5217	2	10401
4199	2	10402
7937	2	10403
3947	2	10404
4626	0	10303
3124	2	10405
4846	2	10406
9366	2	10407
3868	2	10408
7593	3	10409
9818	2	10410
6547	1	10411
1469	2	10412
6718	1	10413
5494	2	10414
270	2	10415
3626	3	10416
3048	2	10417
6614	0	10303
937	0	10303
2748	2	10418
2708	2	10419
9765	3	10420
7932	3	10421
3377	2	10422
3014	2	10423
24	2	10424
5508	2	10425
9270	2	10426
614	3	10427
4489	2	10428
4331	2	10429
8415	2	10430
9690	2	10431
9270	2	10432
533	2	10433
224	2	10434
2402	2	10435
4668	3	10436
2496	2	10437
2831	2	10438
9318	0	10303
1841	3	10439
6891	3	10440
6038	2	10441
5403	0	10303
1691	2	10442
1017	1	10443
6603	2	10444
5372	2	10445
3941	2	10446
2100	1	10447
2023	2	10448
8574	0	10303
7088	0	10380
2344	2	10449
2068	2	10450
7245	1	10451
6544	2	10452
8827	4	10453
4190	2	10454
1020	3	10455
1718	2	10456
4469	2	10457
5390	2	10458
4053	3	10335
5379	2	10459
1032	2	10460
3913	2	10461
8062	2	10462
339	2	10463
2693	0	10380
6336	2	10464
2034	1	10465
8989	2	10466
8761	2	10467
2421	2	10468
9844	2	10469
1253	1	10470
7804	2	10471
8989	3	10472
6117	0	10303
461	2	10473
8797	3	10474
1539	0	10380
550	2	10475
9641	3	10476
4254	3	10477
2798	2	10478
6391	2	10328
6942	2	10479
9365	1	10480
600	3	10481
5200	2	10482
2276	0	10303
1165	2	10483
1035	2	10484
3073	2	10485
8930	2	10486
820	2	10487
4477	2	10488
762	2	10489
4556	2	10490
4390	2	10491
7292	3	10492
2889	3	10308
5057	2	10493
1150	3	10494
7107	1	10495
19	2	10496
802	2	10497
5857	3	10498
6203	3	10499
2653	4	10500
7739	2	10501
7452	0	10303
10146	2	10502
4980	3	10503
3603	2	10504
10082	2	10505
7208	2	10506
5340	2	10507
10003	2	10508
1882	2	10509
3084	3	10510
3015	2	10511
3224	1	10512
1178	0	10303
6221	2	10513
9439	0	10303
7949	2	10514
3387	2	10515
7950	2	10516
7588	0	10303
1006	2	10517
6651	0	10303
7221	3	10498
501	2	10518
3541	2	10519
3230	3	10520
4413	3	10521
1861	2	10522
2470	3	10440
1747	0	10303
5375	0	10303
7267	2	10523
348	4	10524
4655	2	10525
1074	2	10526
730	3	10527
465	2	10528
2183	0	10303
4069	2	10529
10290	0	10303
1477	3	10530
8469	3	10531
